"lang"
{
	"Language"		"koreana"
"upgrade_health_nova_desc"					"<span class=\"highlight\">자신과 주변 아군을 치유</span>합니다. 각 아군마다 추가로 {s:HeroTargetBonus}%를 치유합니다."
"modifier_health_nova"					"헬스 노바"

//Fast Reload
"upgrade_reload_speed_desc"					"<span class=\"highlight\">장전 속도</span>가 증가합니다."
		
//Cloaking Device
"upgrade_cloaking_device_desc"				"<span class=\"highlight\">투명해집니다</span>. 근처의 적들은 영웅을 일시적으로 드러나게 합니다. 공격하거나 피해를 받으면 {s:AbilityCooldown}s 동안 투명 상태가 해제됩니다."
"upgrade_cloaking_device/modifier_citadel_passive_cloak"									"클로킹 장치"
"upgrade_cloaking_device/modifier_citadel_passive_cloak/modifier_invis"						"은신"
"upgrade_cloaking_device_active/modifier_invis"												"은신"

//Shadow Weave
"upgrade_cloaking_device_active_desc"		"<span class=\"highlight\">은신 상태</span>가 됩니다. 은신 상태에서 피해를 받으면 잠시 드러나게 됩니다."
"upgrade_cloaking_device_active_ambush_desc"	"<br>공격하거나 능력을 사용하면 은신가 해제되고 <span class=\"highlight\">기습</span> 상태가 되어, 일시적으로 보너스 <span class=\"highlight\">연사 속도</span>와 <span class=\"highlight\">스피릿 위력</span>을 부여받습니다."
"modifier_cloaking_device_active_stealth"		"그림자 엮기 - 은신"
"modifier_cloaking_device_active_ambush"		"그림자 엮기 - 기습"
"AmbushBonusTechPower_prefix"					"+"
"AmbushBonusTechPower_label"					"기습 스피릿 위력"
"AmbushBonusFireRate_prefix"					"+"
"AmbushBonusFireRate_label"					"기습 연사 속도"
"AmbushBonusFireRate_postfix"					"%"
"AmbushDuration_label"						"기습 지속 시간"
"AmbushDuration_postfix"						"s"
"StealthDuration_label"						"은신 지속 시간"
"StealthDuration_postfix"						"s"
"SpottedRadius_label"						"발견 반경"
"SpottedRadius_postfix"						"m"
"modifier_aoe_smoke_bomb"					"연막"
"upgrade_aoe_smoke_bomb/modifier_invis"														"은신"

//Zip Line Mastery
"upgrade_zipine_mastery_desc"				"집라인 속도가 <span class=\"highlight\">가속화</span>되고, <span class=\"highlight\">중립</span> 집라인을 사용하거나 점프 중 집라인을 캡처할 수 있습니다. 집라인에서 떨어질 때 이동 속도 보너스를 제공하며, 집라인에 있을 때의 지속 시간이 길어질수록 보너스가 증가합니다."
		
//Majestic Leap - Disabled
"upgrade_rocket_boots_desc"					"<span class=\"highlight\">높이 발사</span>합니다. 적 영웅에게 피해를 받을 경우 {s:InteruptCooldown}s 동안 사용할 수 없습니다."
		
//Majestic Leap
"upgrade_rocket_booster_desc"				"<span class=\"highlight\">높이 도약</span>합니다. 공중에 있는 동안 다시 활성화하여 더 빠르게 떨어질 수 있습니다.<br>적 영웅에게 공격받으면 {s:InteruptCooldown}s 동안 사용할 수 없습니다."
"upgrade_rocket_booster_drop_down"			"빠르게 떨어지기"
		
//Smoke
"upgrade_aoe_smoke_bomb_desc"				"자신과 팀원에게 <span class=\"highlight\">은신</span>과 <span class=\"highlight\">이동 속도</span> 보너스를 제공합니다. 공격하거나 피해를 받으면 투명 상태가 해제됩니다.<br>시전 지연: {s:AbilityCastDelay}s."
		
//EMP Grenade
"upgrade_aoe_silence_desc"					"수류탄을 던져 적의 <span class=\"highlight\">능력 사용을 무효화</span>하고 <span class=\"highlight\">스피릿 저항</span>을 감소시킵니다."
"modifier_aoe_silence"										"무효화 - 능력 사용 불가"
		
//Tech Defender
"upgrade_debuff_absorb_desc"				"<span class=\"highlight\">모든 스피릿 피해와 약화 효과</span>에 대해 보호막을 제공합니다."

//Tech Defender
"upgrade_tech_defender_active"		"<span class=\"highlight\">모든 스피릿 피해와 약화 효과</span>에 대해 보호합니다."
"upgrade_tech_defender/modifier_debuff_immunity"			"약화 효과 면역"

		//Drain Will
"upgrade_disarm_desc"			"발사체를 발사하여 대상의 <span class=\"highlight\">연사 속도</span>를 감소시키고 <span class=\"highlight\">스피릿 위력</span>을 훔칩니다."
"SpiritSteal_label"				"스피릿 위력 훔치기"
"SpiritStealDuration_label"		"스피릿 위력 훔치기 지속 시간"
"SpiritStealDuration_postfix"	"s"
"modifier_citadel_active_disarm_spirit_steal"	"의지 흡수"

		//Reactive Barrier
"upgrade_vex_barrier_desc"		"<span class=\"highlight\">이동 잠금, 기절, 체인, 고정, 수면</span> 상태일 때 자동으로 일시적인 <span class=\"highlight\">총알과 스피릿 보호막</span>을 얻습니다."
"upgrade_vex_barrier_shield"	"적응성 보호막"
"VexBarrierBulletMaxHealth_label"	"총탄 보호막 체력"
"VexBarrierTechMaxHealth_label"		"스피릿 보호막 체력"
"VexBarrierShieldDuration_label"	"지속 시간"
"VexBarrierShieldDuration_postfix"	"s"

//MISC
"upgrade_explosive_bullets/modifier_explosive_bullets/modifier_citadel_base_buildup"	"폭발 총알"
"ExplosiveDamage_label"							"폭발 피해"
"BuildUpMaxDamage_label"						"피해 축적 최대치"
"BuildUpMaxDamageNonHero_label"					"비영웅 피해 축적"

	}
}
